character,male 20-,male 20~30,male 30~40,male 40~50,male 50~60,male 60+,female 20-,female 20~30,female 30~40,female 40~50,female 50~60,female 60+,total male,total female,sex ratio(male/female)
宛,0,0,0,0,0,0,0,0,4,4,1,0,0,9,0.001
紘,0,1,3,3,2,0,0,0,0,0,0,0,9,0,1000.0
甫,0,0,3,2,3,1,0,0,0,0,0,0,9,0,1000.0
卿,0,0,1,1,1,0,0,0,0,2,4,0,3,6,0.13
得,0,2,1,2,3,0,0,1,0,0,0,0,8,1,2.13
傳,1,0,2,3,2,1,0,0,0,0,0,0,9,0,1000.0
瑄,0,0,1,1,0,0,0,2,3,1,1,0,2,7,0.08
瓊,0,0,0,0,0,0,0,1,0,2,6,0,0,9,0.001
依,0,1,0,0,0,0,0,0,3,5,0,0,1,8,0.03
經,0,0,0,6,2,1,0,0,0,0,0,0,9,0,1000.0
祖,0,0,2,2,1,3,0,0,0,0,1,0,8,1,2.13
鳴,0,2,2,4,1,0,0,0,0,0,0,0,9,0,1000.0
翊,1,1,3,1,1,0,0,0,1,0,1,0,7,2,0.93
月,0,0,0,0,1,0,0,0,0,4,2,2,1,8,0.03
閎,0,3,2,1,3,0,0,0,0,0,0,0,9,0,1000.0
村,0,0,1,2,5,1,0,0,0,0,0,0,9,0,1000.0
茗,0,0,1,5,0,0,0,1,0,1,1,0,6,3,0.53
瀚,0,2,7,0,0,0,0,0,0,0,0,0,9,0,1000.0
純,0,0,0,1,1,0,0,0,0,5,2,0,2,7,0.08
碧,0,0,0,0,0,0,0,0,1,3,4,1,0,9,0.001
昕,0,1,0,3,1,0,0,2,1,0,1,0,5,4,0.33
城,0,0,0,2,4,2,0,0,1,0,0,0,8,1,2.13
添,0,0,2,1,2,3,0,0,0,0,1,0,8,1,2.13
曜,0,0,4,2,2,1,0,0,0,0,0,0,9,0,1000.0
加,0,0,1,5,0,0,0,1,1,0,0,0,6,2,0.8
樹,0,0,3,3,2,0,0,0,0,0,0,0,8,0,1000.0
諺,0,2,2,2,2,0,0,0,0,0,0,0,8,0,1000.0
鈴,0,0,0,0,0,0,0,0,1,6,1,0,0,8,0.001
羽,0,0,1,2,0,0,0,0,1,2,1,1,3,5,0.16
祺,0,0,2,3,3,0,0,0,0,0,0,0,8,0,1000.0
亨,0,0,1,4,1,1,0,0,0,0,1,0,7,1,1.87
棠,0,1,0,5,1,1,0,0,0,0,0,0,8,0,1000.0
少,0,0,3,3,0,1,0,0,0,0,0,1,7,1,1.87
捷,0,2,3,2,0,0,0,0,1,0,0,0,7,1,1.87
品,0,0,1,3,1,0,0,0,1,2,0,0,5,3,0.44
幸,0,0,0,1,1,0,0,1,0,4,1,0,2,6,0.09
濤,0,1,1,3,2,1,0,0,0,0,0,0,8,0,1000.0
禮,0,0,2,2,1,3,0,0,0,0,0,0,8,0,1000.0
為,0,1,2,3,1,0,0,0,1,0,0,0,7,1,1.87
晟,0,0,3,4,0,0,0,0,0,1,0,0,7,1,1.87
芃,0,1,4,0,0,0,0,1,1,1,0,0,5,3,0.44
亞,0,1,2,0,1,1,0,0,1,2,0,0,5,3,0.44
升,0,2,1,4,1,0,0,0,0,0,0,0,8,0,1000.0
楷,0,2,4,2,0,0,0,0,0,0,0,0,8,0,1000.0
羣,0,1,0,5,0,1,0,0,1,0,0,0,7,1,1.87
雪,0,0,0,0,0,0,0,0,1,4,3,0,0,8,0.001
暐,0,1,3,3,0,0,0,0,0,0,0,0,7,0,1000.0
晨,0,1,2,3,0,0,0,0,0,0,1,0,6,1,1.6
汝,0,0,0,2,0,0,0,0,3,2,0,0,2,5,0.11
晏,0,0,3,2,0,0,0,0,2,0,0,0,5,2,0.67
